RUN	StressTest	stresstest	1561346327594	 	3.1.2
REQUEST	82		Get all campaigns in 1 second	1561346339261	1561346343392	OK	 
REQUEST	24		Get all campaigns in 1 second	1561346339278	1561346343395	OK	 
REQUEST	21		Get all campaigns in 1 second	1561346340215	1561346343395	OK	 
REQUEST	45		Get all campaigns in 1 second	1561346337774	1561346343399	OK	 
REQUEST	76		Get all campaigns in 1 second	1561346339346	1561346343404	OK	 
REQUEST	28		Get all campaigns in 1 second	1561346341177	1561346343405	OK	 
REQUEST	15		Get all campaigns in 1 second	1561346337803	1561346343410	OK	 
REQUEST	5		Get all campaigns in 1 second	1561346340773	1561346343422	OK	 
REQUEST	100		Get all campaigns in 1 second	1561346339762	1561346343423	OK	 
REQUEST	1		Get all campaigns in 1 second	1561346339047	1561346343424	OK	 
REQUEST	79		Get all campaigns in 1 second	1561346341088	1561346343425	OK	 
USER	100 requests - campaign	96	END	1561346329999	1561346343433
USER	100 requests - campaign	9	END	1561346329855	1561346343463
USER	100 requests - campaign	97	END	1561346329999	1561346343473
USER	100 requests - campaign	2	END	1561346329783	1561346343494
USER	100 requests - campaign	4	END	1561346329798	1561346343643
USER	100 requests - campaign	42	END	1561346329969	1561346343675
USER	100 requests - campaign	66	END	1561346329983	1561346343736
USER	100 requests - campaign	62	END	1561346329980	1561346343914
USER	100 requests - campaign	43	END	1561346329969	1561346343963
USER	100 requests - campaign	18	END	1561346329947	1561346343973
USER	100 requests - campaign	73	END	1561346329988	1561346343973
USER	100 requests - campaign	37	END	1561346329966	1561346343993
USER	100 requests - campaign	75	END	1561346329989	1561346344058
USER	100 requests - campaign	70	END	1561346329987	1561346344058
USER	100 requests - campaign	27	END	1561346329956	1561346344063
USER	100 requests - campaign	22	END	1561346329951	1561346344093
USER	100 requests - campaign	94	END	1561346329998	1561346344093
USER	100 requests - campaign	64	END	1561346329981	1561346344104
USER	100 requests - campaign	78	END	1561346329991	1561346344104
USER	100 requests - campaign	67	END	1561346329985	1561346344105
USER	100 requests - campaign	88	END	1561346329996	1561346344125
USER	100 requests - campaign	83	END	1561346329993	1561346344167
USER	100 requests - campaign	84	END	1561346329994	1561346344169
USER	100 requests - campaign	34	END	1561346329964	1561346344173
USER	100 requests - campaign	69	END	1561346329987	1561346344173
USER	100 requests - campaign	98	END	1561346329999	1561346344183
USER	100 requests - campaign	35	END	1561346329965	1561346344194
USER	100 requests - campaign	56	END	1561346329977	1561346344194
USER	100 requests - campaign	40	END	1561346329968	1561346344194
USER	100 requests - campaign	25	END	1561346329953	1561346344195
USER	100 requests - campaign	74	END	1561346329989	1561346344196
USER	100 requests - campaign	63	END	1561346329981	1561346344206
USER	100 requests - campaign	23	END	1561346329951	1561346344227
USER	100 requests - campaign	30	END	1561346329960	1561346344227
USER	100 requests - campaign	85	END	1561346329995	1561346344227
USER	100 requests - campaign	26	END	1561346329955	1561346344228
USER	100 requests - campaign	68	END	1561346329985	1561346344228
USER	100 requests - campaign	58	END	1561346329978	1561346344229
USER	100 requests - campaign	77	END	1561346329990	1561346344234
USER	100 requests - campaign	14	END	1561346329941	1561346344245
USER	100 requests - campaign	10	END	1561346329864	1561346344255
USER	100 requests - campaign	12	END	1561346329879	1561346344255
USER	100 requests - campaign	36	END	1561346329965	1561346344256
USER	100 requests - campaign	11	END	1561346329872	1561346344265
USER	100 requests - campaign	52	END	1561346329974	1561346344267
USER	100 requests - campaign	61	END	1561346329980	1561346344269
USER	100 requests - campaign	91	END	1561346329997	1561346344270
USER	100 requests - campaign	55	END	1561346329977	1561346344272
USER	100 requests - campaign	19	END	1561346329949	1561346344273
USER	100 requests - campaign	44	END	1561346329969	1561346344274
USER	100 requests - campaign	49	END	1561346329973	1561346344274
USER	100 requests - campaign	86	END	1561346329995	1561346344275
USER	100 requests - campaign	20	END	1561346329950	1561346344285
USER	100 requests - campaign	48	END	1561346329971	1561346344296
USER	100 requests - campaign	38	END	1561346329966	1561346344306
USER	100 requests - campaign	41	END	1561346329968	1561346344316
USER	100 requests - campaign	8	END	1561346329826	1561346344326
USER	100 requests - campaign	57	END	1561346329978	1561346344327
